City,Country,Lat,Long,Temp,Humidity,%Cloud,Wind_Speed,Hemisphere
lavrentiya,ru,77.0253,-167.8768,14.76,64,100,6.25,Northern
yellowknife,ca,80.4191,-103.7941,22.0,40,20,3.6,Northern
new norfolk,au,-64.908,135.0181,7.0,93,75,2.6,Southern
cidreira,br,-40.1915,-37.9785,13.97,73,100,6.43,Southern
klaksvik,fo,68.6718,-2.4161,11.0,87,100,5.7,Northern
zhigansk,ru,70.2956,123.2209,7.1,82,46,5.59,Northern
punta arenas,cl,-61.8396,-84.5686,4.0,64,20,8.7,Southern
torbay,ca,46.2321,-42.5298,15.56,87,90,5.7,Northern
hilo,us,8.0302,-143.9916,28.0,69,1,2.6,Northern
sao filipe,cv,8.0539,-29.3085,24.97,85,96,3.35,Northern
ostersund,se,62.5212,15.2615,16.0,72,92,4.6,Northern
husavik,is,75.9172,-10.5434,9.0,70,90,4.6,Northern
mahebourg,mu,-28.2032,65.4654,21.0,73,75,7.2,Southern
atuona,pf,-5.8951,-137.4626,26.7,73,3,10.93,Southern
rikitea,pf,-66.0187,-126.5807,21.21,78,0,8.44,Southern
san cristobal,ec,-1.3075,-85.7242,23.0,73,40,6.2,Southern
pacific grove,us,27.8354,-134.9198,24.44,68,75,4.1,Northern
bucerias,mx,20.4696,-108.1125,31.0,62,40,1.5,Northern
turochak,ru,52.0462,87.5653,12.24,93,22,1.13,Northern
egvekinot,ru,56.1185,-179.4997,12.59,84,32,2.73,Northern
timizart,dz,37.5802,4.9843,27.66,47,0,3.64,Northern
stokmarknes,no,70.2705,14.6174,21.0,46,1,2.6,Northern
saldanha,za,-33.1256,10.6258,12.0,76,0,4.6,Southern
pisco,pe,-27.3632,-95.6933,18.89,72,40,5.1,Southern
tateyama,jp,27.1707,142.6556,25.56,94,100,0.89,Northern
esperance,au,-55.1059,127.0127,9.0,93,84,6.2,Southern
bredasdorp,za,-82.5433,22.8101,10.0,76,2,2.1,Southern
safaga,eg,24.9744,34.9866,35.0,26,0,7.2,Northern
sladkovo,ru,55.7987,69.9,13.21,86,84,3.34,Northern
alta floresta,br,-8.7242,-57.2025,35.0,24,20,4.1,Southern
rosarito,mx,28.2774,-122.0117,27.78,65,5,4.6,Northern
sitka,us,52.7053,-138.9897,13.0,87,75,2.6,Northern
puerto ayora,ec,-2.847,-106.4336,26.0,57,20,10.3,Southern
tashtagol,ru,51.8107,88.7572,13.2,92,100,3.72,Northern
kabinda,cd,-6.509,24.4108,22.37,28,0,0.7,Southern
kapaa,us,35.6836,-160.9674,27.0,74,20,7.2,Northern
avarua,ck,-54.8318,-167.3925,22.0,83,100,3.6,Southern
lompoc,us,24.9003,-129.417,19.0,72,0,5.1,Northern
kruisfontein,za,-58.3651,27.6223,12.78,88,49,2.17,Southern
kurilsk,ru,46.7206,146.0677,10.74,82,33,1.04,Northern
opuwo,na,-19.1956,11.6118,16.73,31,0,4.49,Southern
minsk,by,53.4858,28.1011,18.0,88,100,2.0,Northern
port elizabeth,za,-88.9915,33.6724,14.0,71,70,3.6,Southern
jharsuguda,in,21.9607,84.0073,28.94,62,99,1.98,Northern
joshimath,in,32.1248,80.8922,19.48,60,62,0.24,Northern
qaanaaq,gl,81.1116,-80.1599,8.64,52,0,4.06,Northern
novoagansk,ru,61.8284,76.8587,11.54,78,22,2.73,Northern
pangoa,pe,-11.5162,-71.5071,28.07,49,0,1.95,Southern
vaini,to,-77.5115,-169.1665,20.0,94,40,2.6,Southern
pevek,ru,80.1985,167.8707,12.17,67,100,5.0,Northern
lorengau,pg,8.2991,146.2889,27.31,81,100,3.66,Northern
sinnamary,gf,11.3551,-49.4208,28.06,76,24,3.94,Northern
iqaluit,ca,61.8933,-77.4293,11.0,71,75,1.5,Northern
tomatlan,mx,15.2437,-110.8158,30.6,70,87,3.69,Northern
butaritari,ki,15.508,165.5568,28.34,75,0,6.27,Northern
umba,ru,66.2716,34.6994,14.55,77,100,4.13,Northern
baturaja,id,-4.4868,103.6274,21.46,95,49,1.09,Southern
taltal,cl,-24.9643,-82.0265,17.07,55,22,1.09,Southern
port hardy,ca,48.4905,-128.7406,14.0,93,40,1.5,Northern
hobart,au,-57.3109,155.3009,7.0,93,75,2.6,Southern
teya,ru,62.597,90.2349,10.04,88,64,0.94,Northern
tilichiki,ru,58.4118,165.8845,13.44,69,0,2.63,Northern
raudeberg,no,66.2619,0.8431,16.0,93,75,3.6,Northern
caravelas,br,-22.847,-24.6966,24.32,71,4,3.25,Southern
santa marta,co,12.6641,-74.8019,30.0,74,40,3.1,Northern
maniitsoq,gl,60.4758,-59.0714,9.26,84,7,0.94,Northern
bay city,us,43.9306,-83.5604,33.0,58,40,6.7,Northern
longyearbyen,sj,88.0069,17.0773,16.0,72,0,5.1,Northern
bin qirdan,tn,33.1098,11.0313,27.71,55,0,6.38,Northern
chokurdakh,ru,85.9111,146.5146,8.69,79,100,3.78,Northern
teguldet,ru,58.0629,89.0468,13.86,95,100,1.77,Northern
bengkulu,id,-8.3325,93.4957,23.87,85,82,2.3,Southern
aljezur,pt,37.3087,-9.0811,23.86,65,1,4.36,Northern
xuddur,so,5.8111,44.6388,23.82,68,21,5.19,Northern
hukuntsi,bw,-24.4657,21.1787,12.28,41,0,3.55,Southern
sao lourenco do sul,br,-31.0728,-52.1805,15.0,58,30,3.6,Southern
artigas,uy,-30.6477,-56.316,14.16,65,100,3.4,Southern
krasnoselkup,ru,63.961,80.9796,12.0,59,84,7.12,Northern
haileybury,ca,47.3147,-80.0108,28.0,74,75,4.6,Northern
qaqortoq,gl,64.37,-44.2679,12.0,66,75,4.1,Northern
quatre cocos,mu,-17.9281,69.435,21.11,73,75,7.2,Southern
victoria,sc,-5.4812,59.3633,27.0,88,40,2.6,Southern
college,us,74.5569,-146.8092,17.0,72,75,2.6,Northern
amot,no,59.6774,7.772,15.0,91,100,1.34,Northern
griffith,au,-34.6451,145.7297,8.0,87,91,5.1,Southern
lamu,ke,-1.7635,41.0647,24.74,80,10,7.43,Southern
carnarvon,au,-22.2434,100.6065,13.0,100,0,2.6,Southern
zeya,ru,54.7769,129.377,15.95,93,99,0.77,Northern
yara,cu,19.446,-76.8667,34.95,48,1,2.1,Northern
puri,in,17.8814,87.5488,29.0,89,40,3.1,Northern
isangel,vu,-16.7039,176.1799,19.0,93,31,0.5,Southern
takoradi,gh,1.2083,-0.8618,24.27,80,98,4.92,Northern
bluff,nz,-79.0653,154.7831,3.89,83,0,1.34,Southern
copacabana,bo,-16.0373,-69.1005,9.5,46,0,3.83,Southern
castro,cl,-46.2832,-91.2546,9.44,62,40,6.7,Southern
toamasina,mg,-18.7944,51.4583,19.0,93,75,5.1,Southern
thompson,ca,61.9116,-94.1096,15.0,93,90,4.1,Northern
harper,lr,-0.5837,-12.2436,24.36,76,98,3.43,Southern
villa maria,ar,-32.7964,-63.5455,17.63,30,0,6.54,Southern
ribeira grande,pt,42.4597,-31.5463,24.0,88,75,3.1,Northern
dewa,in,27.0076,81.1848,30.0,89,75,2.2,Northern
portland,au,-52.2627,132.8218,10.74,86,88,3.14,Southern
kupang,id,-9.4665,123.3566,23.02,79,62,5.06,Southern
bahia honda,cu,24.5164,-84.6364,28.51,78,100,4.18,Northern
qasigiannguit,gl,67.6305,-50.6538,7.0,93,100,3.6,Northern
mareeba,au,-14.0083,142.1395,14.44,83,0,0.98,Southern
oktyabrskoye,ru,61.8053,67.9677,23.0,83,17,5.0,Northern
saint-philippe,re,-65.757,70.5485,21.0,77,40,2.6,Southern
nanortalik,gl,51.2001,-36.1966,7.98,82,64,1.74,Northern
te anau,nz,-40.0702,162.5995,1.99,86,25,0.43,Southern
yacuiba,bo,-22.0806,-63.8964,23.52,20,0,3.2,Southern
loikaw,mm,19.3556,96.9545,21.19,92,100,0.9,Northern
rawson,ar,-47.662,-62.7903,7.0,75,90,1.5,Southern
hovd,mn,41.9189,102.699,18.59,42,0,2.56,Northern
ahipara,nz,-35.0232,167.4848,8.07,82,0,1.69,Southern
canon city,us,38.5814,-105.6169,30.0,35,1,4.6,Northern
touros,br,0.7484,-34.3082,25.0,83,40,4.6,Northern
salalah,om,13.8953,56.5908,26.0,94,75,1.0,Northern
pangnirtung,ca,65.7483,-60.2689,9.0,87,75,3.6,Northern
balkanabat,tm,41.0588,54.0674,34.51,29,0,4.49,Northern
korla,cn,35.5264,86.7877,32.22,64,0,1.79,Northern
milkovo,ru,54.8465,157.3746,12.78,84,0,0.59,Northern
provideniya,ru,45.3957,-178.8217,8.0,75,100,2.0,Northern
sao joao da barra,br,-31.2438,-24.1509,25.0,69,75,7.2,Southern
acarau,br,-1.0772,-40.2165,29.92,51,0,6.54,Southern
tiksi,ru,79.0693,124.6701,2.78,94,100,5.09,Northern
biltine,td,15.4768,22.7041,33.87,32,0,3.33,Northern
mikuni,jp,37.5983,135.2276,23.0,94,75,1.5,Northern
iraucuba,br,-3.879,-39.657,31.5,31,98,4.5,Southern
nyimba,zm,-14.0342,30.6786,16.55,44,6,2.87,Southern
port blair,in,10.7273,90.6707,28.21,76,100,1.18,Northern
noumea,nc,-27.5803,163.942,22.22,87,1,1.0,Southern
kodinsk,ru,61.1169,99.7066,11.78,94,69,1.14,Northern
rancho palos verdes,us,33.5801,-118.4849,23.89,77,20,5.7,Northern
kununurra,au,-17.7262,131.249,18.0,32,88,3.1,Southern
kahului,us,34.7642,-144.8289,27.0,78,90,9.8,Northern
cayenne,gf,12.4256,-44.1694,31.0,66,66,1.5,Northern
inhambane,mz,-22.6481,36.8739,16.67,93,20,2.49,Southern
ilinge,za,-31.7961,27.0713,3.89,90,0,1.05,Southern
twin falls,us,41.6476,-114.4561,26.67,29,1,3.6,Northern
ponta delgada,pt,33.5807,-27.6281,23.0,83,40,4.6,Northern
lapeer,us,43.6286,-83.2037,33.0,49,40,5.1,Northern
anadyr,ru,65.611,178.8602,16.0,87,35,6.0,Northern
delesti,ro,46.6671,27.5242,26.0,83,100,1.5,Northern
chuy,uy,-60.7593,-22.5611,11.97,76,100,2.83,Southern
batemans bay,au,-38.4429,150.9035,14.44,97,100,2.24,Southern
porto-vecchio,fr,41.654,9.1563,27.0,54,0,5.1,Northern
moose factory,ca,56.0811,-76.5372,31.0,55,20,3.6,Northern
irbil,iq,36.423,44.1066,33.0,15,0,1.5,Northern
colac,au,-39.6195,143.898,7.78,99,100,2.05,Southern
huarmey,pe,-13.2943,-86.3201,19.96,63,2,4.96,Southern
kavieng,pg,7.9878,152.7039,27.85,79,100,4.69,Northern
tasiilaq,gl,67.0612,-41.8837,8.0,75,100,3.6,Northern
roald,no,65.928,4.5426,16.11,87,75,2.6,Northern
dalhousie,ca,48.5039,-66.2998,22.0,83,90,2.6,Northern
marshall,us,44.9385,-95.8771,32.22,43,1,2.6,Northern
stornoway,gb,58.6391,-8.0729,12.22,81,100,10.8,Northern
boden,se,66.7612,21.6918,16.0,72,0,3.1,Northern
constitucion,mx,14.972,-122.7093,25.0,47,75,3.6,Northern
saskylakh,ru,76.9432,117.9554,2.73,95,100,8.88,Northern
kyra,ru,48.795,113.001,16.67,89,96,1.69,Northern
richards bay,za,-28.8667,32.4896,17.32,73,0,3.98,Southern
sambava,mg,-12.1795,56.0894,20.52,88,100,7.13,Southern
ilebo,cd,-4.2887,20.9034,25.83,34,9,0.71,Southern
oistins,bb,12.2733,-55.2355,32.0,59,40,8.7,Northern
nong bua,th,15.623,100.5735,26.98,78,100,2.49,Northern
lastoursville,ga,-0.8244,12.4863,24.5,79,100,1.5,Southern
east london,za,-88.8619,59.819,16.0,67,92,8.06,Southern
wichian buri,th,15.7331,101.2202,26.58,83,100,1.21,Northern
khatanga,ru,73.1431,107.4063,4.49,86,100,2.66,Northern
gurkovo,bg,42.5825,25.7375,26.0,50,40,2.1,Northern
camalu,mx,30.8405,-116.8769,26.67,41,5,2.68,Northern
buguruslan,ru,53.8319,52.4849,13.31,87,0,1.76,Northern
lamar,us,39.1248,-102.5089,33.89,59,1,2.6,Northern
hrubieszow,pl,50.9892,23.8756,18.33,87,93,0.86,Northern
coffs harbour,au,-29.9066,153.5002,14.0,67,90,5.1,Southern
soyo,ao,-7.8589,11.5783,22.93,82,0,3.94,Southern
dakar,sn,13.8747,-19.8783,29.0,70,75,4.1,Northern
bafata,gw,11.9195,-14.3639,25.37,91,100,3.43,Northern
bac lieu,vn,5.8796,108.5464,27.53,77,13,1.73,Northern
tela,hn,16.3567,-87.3385,32.0,70,75,3.1,Northern
hofn,is,61.402,-15.8995,9.99,69,100,7.43,Northern
galle,lk,3.8903,77.3123,26.48,87,100,3.62,Northern
hithadhoo,mv,-1.4547,74.492,27.97,71,100,2.99,Southern
puerto del rosario,es,28.399,-13.5799,24.0,78,0,8.2,Northern
aksarka,ru,72.5707,68.429,9.55,85,4,3.86,Northern
san patricio,mx,17.4892,-106.7489,32.0,75,40,4.1,Northern
luganville,vu,-15.3761,162.4285,25.0,83,75,2.6,Southern
kokstad,za,-30.0398,29.03,8.98,87,98,1.43,Southern
buraydah,sa,25.844,42.7662,39.0,27,0,4.1,Northern
brae,gb,67.0646,-0.1947,13.0,82,100,2.6,Northern
nemuro,jp,39.3209,149.0841,13.83,89,100,1.8,Northern
port lincoln,au,-37.8196,132.8018,11.69,85,0,3.58,Southern
ateptsevo,ru,55.2196,36.7663,20.0,72,17,2.0,Northern
contamana,pe,-7.3138,-75.0145,24.38,82,93,1.32,Southern
shemonaikha,kz,50.7268,81.9958,13.85,82,17,0.51,Northern
petropavlovsk-kamchatskiy,ru,45.6554,164.0594,13.0,100,67,3.03,Northern
yar-sale,ru,68.2066,71.3635,10.28,75,52,3.21,Northern
coquimbo,cl,-28.8118,-73.3386,17.0,59,15,6.2,Southern
caceres,br,-15.4392,-57.9084,34.03,21,8,1.72,Southern
murmino,ru,54.5557,40.0224,18.33,53,75,2.42,Northern
praia,cv,11.8509,-21.4933,28.0,69,40,8.2,Northern
havre-saint-pierre,ca,52.6334,-63.2353,22.0,68,40,4.1,Northern
fortuna,us,35.2791,-139.5547,21.67,72,20,5.7,Northern
severo-kurilsk,ru,35.4369,166.5442,10.44,91,100,7.38,Northern
norman wells,ca,64.9226,-128.6703,20.0,56,75,4.6,Northern
vila velha,br,-31.6455,-22.3115,24.0,78,75,3.1,Southern
aykhal,ru,70.3368,108.75,2.78,85,87,4.78,Northern
nuuk,gl,61.6597,-55.6763,16.0,55,20,3.6,Northern
athabasca,ca,58.4437,-112.6856,22.81,48,7,3.73,Northern
kathu,th,8.3546,96.7821,29.44,94,40,0.5,Northern
ovsyanka,ru,53.3902,126.9458,16.0,93,40,2.0,Northern
zihuatanejo,mx,16.8195,-101.8086,34.0,56,40,4.1,Northern
laguna,br,-43.5807,-31.4661,16.73,73,100,7.8,Southern
mayenne,fr,48.3496,-0.7064,24.0,44,7,3.6,Northern
veraval,in,17.8169,68.0326,28.45,82,10,5.14,Northern
hami,cn,45.7932,92.8392,29.22,20,0,8.13,Northern
atambua,id,-9.8895,126.7365,19.08,86,50,2.78,Southern
plouzane,fr,46.791,-5.9757,18.0,88,90,7.2,Northern
bilibino,ru,68.8775,164.61,21.96,46,16,2.86,Northern
cabo san lucas,mx,15.8103,-119.3576,36.0,62,5,2.6,Northern
victor harbor,au,-37.5428,138.0694,11.67,91,0,4.19,Southern
naze,jp,24.7622,135.9877,28.0,83,100,4.1,Northern
buenaventura,co,3.6889,-77.082,26.87,87,100,2.8,Northern
nalut,ly,30.8496,8.9991,32.21,17,0,6.32,Northern
vardo,no,88.2881,38.6571,14.0,82,96,6.7,Northern
padang,id,-0.7327,97.6985,25.0,94,40,1.5,Southern
saint george,bm,33.3852,-54.3882,30.0,62,20,4.6,Northern
graaff-reinet,za,-32.5478,24.3656,10.56,72,55,1.79,Southern
antalaha,mg,-14.428,53.6973,19.94,90,100,4.72,Southern
nacozari,mx,30.4212,-110.1365,34.44,61,63,4.47,Northern
koslan,ru,65.6522,48.787,16.57,58,2,0.97,Northern
sidvokodvo,sz,-26.5111,31.5091,13.0,82,0,1.0,Southern
puerto escondido,mx,8.4066,-98.931,30.0,70,40,3.1,Northern
axim,gh,2.6049,-2.3472,24.33,80,95,4.29,Northern
leningradskiy,ru,68.1637,179.9506,21.03,46,39,8.04,Northern
nanakuli,us,19.2327,-159.6941,28.0,69,75,4.1,Northern
kaitangata,nz,-69.9663,176.7935,3.89,84,0,1.34,Southern
lazaro cardenas,mx,12.4343,-105.5624,30.92,59,75,2.01,Northern
erzin,ru,48.303,94.0945,15.21,57,11,2.1,Northern
puerto el triunfo,sv,12.3864,-89.1818,32.0,70,40,1.5,Northern
kristiinankaupunki,fi,62.5471,20.7491,15.44,79,100,3.69,Northern
lagoa,pt,50.2125,-26.8044,22.75,91,39,5.64,Northern
vila franca do campo,pt,41.4835,-19.9249,23.0,83,40,4.6,Northern
ekibastuz,kz,51.9347,74.5857,19.6,52,4,1.92,Northern
san quintin,mx,28.4245,-118.738,23.51,66,0,5.94,Northern
katsuura,jp,20.1447,145.4715,25.0,94,94,0.89,Northern
olafsvik,is,62.3494,-29.8205,10.03,71,46,4.3,Northern
araguacu,br,-12.202,-50.352,33.17,18,0,3.22,Southern
nantucket,us,39.1369,-69.3087,26.11,78,40,8.2,Northern
longhua,cn,29.193,106.9345,26.58,82,100,1.06,Northern
astara,ir,38.3557,48.8857,25.0,83,0,1.35,Northern
jingdezhen,cn,29.0879,117.2677,24.97,93,100,0.74,Northern
kavaratti,in,8.3366,69.835,27.81,80,65,4.63,Northern
sabha,ly,26.5169,15.6071,31.81,15,0,4.27,Northern
belaya kholunitsa,ru,59.0533,50.5936,14.3,92,0,1.3,Northern
yangjiang,cn,20.7251,112.1487,27.47,88,97,3.02,Northern
souillac,mu,-40.0254,69.1651,21.0,73,75,6.7,Southern
cockburn town,tc,24.9733,-68.8721,28.27,80,0,7.47,Northern
komsomolskiy,ru,72.6368,173.6134,22.33,72,58,2.28,Northern
zhezkazgan,kz,47.084,68.0544,25.47,28,88,4.2,Northern
pouebo,nc,-19.6453,165.228,20.7,86,15,6.14,Southern
narsaq,gl,75.7729,-69.482,12.0,66,75,4.1,Northern
san pedro,bz,18.0304,-86.565,32.0,70,20,4.6,Northern
knysna,za,-38.1597,22.408,11.0,100,56,2.1,Southern
xichang,cn,28.8654,99.517,15.89,75,27,0.69,Northern
bilma,ne,19.7555,12.0369,34.16,16,0,0.54,Northern
shonguy,ru,68.5252,33.2076,16.0,82,0,2.0,Northern
beringovskiy,ru,54.2429,177.0768,16.92,68,32,2.61,Northern
boyuibe,bo,-20.9884,-62.3429,24.1,33,0,5.55,Southern
mangai,cd,-2.5642,20.1963,25.61,45,0,0.46,Southern
port hedland,au,-24.5708,119.8498,15.0,22,1,4.1,Southern
dekar,bw,-22.5238,22.3255,11.46,44,0,2.61,Southern
blythe,us,33.5612,-114.0211,41.0,13,40,0.71,Northern
lopukhiv,ua,48.375,23.975,16.29,84,100,0.28,Northern
ponta do sol,cv,17.6791,-30.2137,29.0,62,40,8.7,Northern
chemal,ru,51.1828,86.1319,12.54,81,0,0.73,Northern
rezh,ru,57.4088,61.4218,11.38,83,48,1.46,Northern
muros,es,44.6894,-11.0651,23.89,64,0,2.24,Northern
alice springs,au,-21.2895,135.4684,3.0,74,0,2.1,Southern
havelock,us,30.7957,-72.9205,32.22,59,17,4.47,Northern
qarqin,af,36.9272,66.2667,31.63,17,0,5.46,Northern
guerrero negro,mx,24.1791,-119.6608,26.09,51,0,6.35,Northern
medyn,ru,54.8865,35.8847,17.0,93,27,2.28,Northern
itambe,br,-15.5266,-40.6009,22.15,82,70,2.88,Southern
salzhemmendorf,de,52.0005,9.5245,20.0,61,3,0.89,Northern
talnakh,ru,74.9086,88.4498,7.0,93,86,8.0,Northern
oriximina,br,-1.0436,-55.705,33.53,40,13,3.21,Southern
khandbari,np,28.1159,87.2901,23.82,77,65,0.05,Northern
lubao,cd,-5.8579,25.7721,24.76,28,58,1.32,Southern
quelimane,mz,-20.8064,39.9319,20.0,82,0,1.5,Southern
aklavik,ca,69.2708,-136.6872,17.0,72,75,2.6,Northern
tazovskiy,ru,70.8107,76.8307,8.19,73,72,5.47,Northern
barcelona,ve,10.0305,-64.8486,28.61,73,18,3.18,Northern
san policarpo,ph,13.751,130.8526,26.8,81,27,1.26,Northern
bambous virieux,mu,-22.9129,63.9028,21.11,73,75,7.2,Southern
matagami,ca,52.4253,-77.3335,26.0,74,40,4.1,Northern
shelburne,ca,42.8563,-64.9578,32.0,49,40,4.6,Northern
ibipeba,br,-11.6011,-42.6303,25.99,43,92,5.51,Southern
paka,my,5.3815,104.5268,27.0,83,100,2.6,Northern
isiro,cd,3.6643,26.6852,19.77,97,100,1.02,Northern
el tigre,ve,8.9479,-64.4549,31.32,55,92,4.07,Northern
kulhudhuffushi,mv,7.0522,68.0043,27.86,74,98,3.33,Northern
ulaanbaatar,mn,48.9169,107.0713,14.0,87,20,2.0,Northern
yakymivka,ua,46.725,35.0864,21.45,82,100,4.44,Northern
esmeraldas,ec,2.5216,-80.42,27.0,65,75,1.5,Northern
ostrovnoy,ru,73.6036,44.6436,15.54,75,98,2.08,Northern
abu dhabi,ae,22.9337,54.1525,36.0,60,96,2.6,Northern
gondar,et,12.4098,36.4595,13.5,97,100,0.59,Northern
khoy,ir,38.6221,44.4858,28.46,19,0,2.22,Northern
nhulunbuy,au,-12.6294,139.4611,24.0,57,40,5.7,Southern
arvika,se,59.4023,12.7942,16.67,93,100,4.1,Northern
mitsamiouli,km,-8.959,45.7011,24.87,72,84,2.71,Southern
santiago del estero,ar,-27.5311,-63.3754,22.07,22,0,7.13,Southern
atbasar,kz,51.7794,68.5224,14.65,90,78,3.68,Northern
plavsk,ru,53.7974,37.3839,17.43,80,1,2.91,Northern
nueve de julio,ar,-35.9449,-61.3708,18.33,32,0,4.92,Southern
kumluca,tr,34.7927,29.6485,27.89,58,0,0.39,Northern
saint-pierre,pm,35.4198,-51.7235,15.0,100,90,7.2,Northern
nyurba,ru,67.2695,118.7873,9.19,93,39,0.92,Northern
verkhnyaya inta,ru,66.1184,61.4604,13.24,72,1,2.88,Northern
udachnyy,ru,68.3877,115.155,4.8,81,99,7.2,Northern
kalianget,id,-6.2906,115.0568,25.27,75,97,4.49,Southern
sungaipenuh,id,-5.8178,96.2219,16.98,94,49,1.22,Southern
ongandjera,na,-17.0652,14.7799,18.43,28,0,4.02,Southern
goundi,td,10.1031,17.736,22.37,95,99,1.13,Northern
tuy hoa,vn,12.8187,110.9923,25.92,87,13,2.81,Northern
arman,ru,56.7325,149.6465,11.93,85,26,0.85,Northern
abalak,ne,15.2417,6.504,36.86,25,1,0.73,Northern
angoche,mz,-17.6501,41.9822,21.38,73,28,1.29,Southern
faanui,pf,-11.4501,-152.1169,25.6,83,55,7.05,Southern
kovdor,ru,67.218,30.8077,13.31,87,100,2.6,Northern
fairbanks,us,64.9564,-147.6226,17.0,82,90,1.23,Northern
kabare,cd,-2.3302,27.6536,16.86,65,3,0.43,Southern
catuday,ph,17.9398,117.2992,27.33,77,64,2.62,Northern
honningsvag,no,80.3384,26.2268,21.0,49,17,7.2,Northern
kasongo-lunda,cd,-6.647,16.7162,24.53,24,100,0.67,Southern
asosa,et,10.1157,33.789,16.66,98,100,1.43,Northern
alghero,it,40.1848,6.3799,27.0,51,0,2.6,Northern
kolondieba,ml,11.2782,-6.5728,25.8,82,100,2.2,Northern
tingi,tz,-11.6047,35.7938,12.23,90,48,0.54,Southern
bitkine,td,12.481,18.1331,26.99,68,100,3.81,Northern
kota bahru,my,6.7832,103.623,26.0,88,20,1.5,Northern
saint-georges,gf,8.0201,-43.346,31.0,62,75,3.1,Northern
kisangani,cd,-0.8717,26.7214,23.29,86,97,1.01,Southern
half moon bay,us,32.4613,-132.1193,22.78,77,40,2.6,Northern
mutoko,zw,-17.6839,32.4735,11.14,65,0,2.72,Southern
uruzgan,af,33.3181,67.4994,21.45,23,0,1.21,Northern
mercedes,ar,-28.9811,-57.4451,17.78,40,34,7.15,Southern
camana,pe,-19.2507,-74.9625,17.95,66,16,3.59,Southern
gigmoto,ph,16.2314,127.9549,27.15,80,65,0.36,Northern
kimbe,pg,-7.1448,151.8363,23.78,88,99,1.84,Southern
rio gallegos,ar,-50.2944,-69.8836,2.0,80,20,5.1,Southern
auki,sb,-7.5169,162.7066,25.27,86,96,1.58,Southern
port hawkesbury,ca,41.1844,-59.6188,20.0,94,90,2.6,Northern
opunake,nz,-39.5689,172.914,5.56,84,0,1.96,Southern
san vicente,ar,-34.8017,-58.6072,20.21,47,100,1.47,Southern
afsin,tr,38.4644,36.9427,23.45,39,0,1.83,Northern
kodiak,us,47.8984,-159.109,15.0,67,90,5.1,Northern
grand gaube,mu,-11.6023,64.4218,21.11,71,100,4.92,Southern
zhanakorgan,kz,43.3916,67.1874,27.01,24,0,4.51,Northern
pingliang,cn,35.6829,105.8102,20.58,26,0,2.9,Northern
ankazoabo,mg,-22.5656,45.0674,15.2,57,0,1.58,Southern
sabang,id,7.5117,92.8568,27.44,79,100,5.01,Northern
bauchi,ng,9.3377,10.1066,23.93,88,91,3.0,Northern
